Tags,Oznake
Send Notification to,Slanje obaveštenja
Send Notifications For Documents Followed By Me,Pošalji obaveštenja za sva dokumentima na kojima označim Prati
Send Notifications For Email Threads,Šalji obaveštenja za Mejl Teme
Send Notifications To,Slanje obaveštenja
Send Now,Pošalji sada
Send Payment Request,Pošalji zahtjev za plaćanje
Send Payment Request Email,Pošalji zahtjev za plaćanje E-mail
Send Print as PDF,Pošalji Print as PDF
Send Read Receipt,Pošalji potvrdu da je pročitano
Send SMS,Poslati SMS
Send System Notification,Pošalji Sistem Notification
Send To,Poslati
Send To All Assignees,Šalje svim Assignees
Send To Primary Contact,Pošalji na primarne Kontakt
Send Unsubscribe Link,Pošalji Unsubscribe Link
Send Web View Link,Pošalji veb Viev Link
Send Welcome Email,Send Velcome Email
Send a message,Pošalji poruku
Send alert if date matches this field's value,Poslati obaveštenje ako datum odgovara vrednosti ovoj oblasti je
Send alert if this field's value changes,Pošalji upozorenja ako promene vrednosti ovoj oblasti je
Send an email reminder in the morning,Poslati e-mail podsetnik ujutru
Send days before or after the reference date,Pošalji dana pre ili posle referentnog datuma
Send document Web View link in email,Pošalji dokument veb Pogledaj link u email
Send enquiries to this email address,Pošalji pitanja na ovu adresu e-pošte
Send me a copy,Pošalji mi kopiju
Send only if there is any data,Poslati samo ako postoji bilo kakva podaci
Send regular summary reports via Email.,Šalje redovne izveštaje zbirne via Email.
Send to Subcontractor,Pošalji Podizvođaču
Send unsubscribe message in email,Pošalji opoziv poruku u e-mail
Send with Attachment,Pošalji sa prilogom
Sender,pošiljalac
Sender Email,Email pošiljaoca
Sender Field,pošiljalac polje
Sender Field should have Email in options,Pošiljalac polje treba da ima mail u opcijama
Sender Name,Ime pošiljaoca
Sendgrid,Sendgrid
Sending,slanje
Sensitivity,osetljivost
Sensitivity Test Result,Osetljivost rezultatima testa
Sent,Poslato
Sent On,Poslat na
Sent Read Receipt,Sent potvrdu čitanja
Sent To,Poslat
Sent or Received,Poslata ili primljena
Sent/Received Email,Sent / Received E-mail
Sep,sep
Separate course based Group for every Batch,Odvojiti kurs na osnovu grupa za svaku seriju
Separator,separator
September,septembar
Sequence ID,ID broj sekvence
Sequence Id,sekvenca ID
Sequential,Redni
Serial No,Serijski broj
Serial No / Batch,Serijski broj / Serija
Serial No Count,Serial Nema grofa
Serial No Details,Serijski broj Detalji
Serial No Service Contract Expiry,Serijski br Istek Servisnog Ugovora 
Serial No Status,Status Serijskog Broja
Serial No Warranty Expiry,Istek Garancije Serijskog Broja
Serial No and Batch,Serijski Broj i Serija
Serial No is mandatory for Item {0},Serial No je obavezno za stavku {0}
Serial No {0} Created,Serial No {0} Napravljeno
Serial No {0} does not belong to Batch {1},Serial No {0} ne pripada Batch {1}
Serial No {0} does not belong to Delivery Note {1},Serijski broj {0} ne pripada otpremnica {1}
Serial No {0} does not belong to Item {1},Serial No {0} ne pripada sa tačkom {1}
Serial No {0} does not belong to Warehouse {1},Serial No {0} ne pripada skladište {1}
Serial No {0} does not belong to any Warehouse,Serial No {0} ne pripada nijednom Varehouse
Serial No {0} does not exist,Serial No {0} ne postoji
Serial No {0} has already been received in the {1} #{2},Serial No {0} je već primljen u {1} ​​# {2}
Serial No {0} is under maintenance contract upto {1},Serial No {0} je pod upto ugovoru maintenance {1}
Serial No {0} is under warranty upto {1},Serial No {0} je pod garancijom upto {1}
Serial No {0} not found,Serial No {0} nije pronađen
Serial No {0} not in stock,Serial No {0} nije u prodaji
Serial No {0} quantity {1} cannot be a fraction,Serial No {0} količina {1} Ne mogu predstavljati dio
Serial No: {0} has already been transacted into another POS Invoice.,Serijski br: {0} već obavljen u drugi POS računu.
Serial Nos Required,Serijskim brojevima Obavezno
Serial Nos Required for Serialized Item {0},Serial Nos Obavezno za serijalizovanom tačkom {0}
Serial Nos and Batches,Serijski Brojevi i Paketi
Serial Number Created,Serijski broj Kreirano
Serial Number Series,Serijski broj serija
Serial Number: {0} is already referenced in Sales Invoice: {1},Serijski broj: {0} je već navedeno u prodaji fakture: {1}
Serial Numbers,Redni brojevi
Serial Numbers Created,Serijski brojevi Kreirano
Serial Numbers in row {0} does not match with Delivery Note,Serijski brojevi u nizu {0} ne poklapa sa Deliveri Note
Serial no {0} has been already returned,Serijski broj {0} je već vraćen
Serial no(s) required for serialized item {0},Serijski broj (e) potrebne za serijalizovanom stavku {0}
Serial number {0} entered more than once,Serijski broj {0} unese više od jedanput
Serial numbers for stock will be set automatically based on the Items entered based on first in first out in transactions like Purchase/Sales Invoices,Serijski brojevi za lageru će biti postavljena automatski na osnovu stavki ušlo na osnovu prvi u prvoj u transakcijama kao Kupovina / Fakturisanje
Serial numbers unavailable for Item {0} under warehouse {1}. Please try changing warehouse.,Serijski brojevi nedostupni tačkom {0} pod skladište {1}. Pokušajte menja skladište.
Series,Numerisanje dokumenta
Series List for this Transaction,Serija Lista za ovu transakciju
Series Updated,Šablon za Broj Dokumenta ažuriran
Series Updated Successfully,Serija je ažuriran
Series for Asset Depreciation Entry (Journal Entry),Series for Asset Depreciation Entry (Journal Entry)
Series is mandatory,Serija je obavezna
Series {0} already used in {1},Serija {0} već koriste u {1}
Served,Served
Server Action,server Akcija
Server Error,greška na serveru
Server IP,server IP
Server Script,Skripta za server
Service,Servis
Service Address,servis Adresa
Service Day,service Dan
Service Detail,Detalji sa servisa
Service Details,Servis
Service End Date,Servis Datum završetka
Service Expense,servis Troškovi
Service Item,Servisirana Stavka
Service Level,Nivo usluge
Service Level Agreement,Servisni ugovor
Service Level Agreement Creation,Nivo Ugovor o Stvaranje
Service Level Agreement Details,Servis nivo Sporazum Detalji
Service Level Agreement Status,Service Level Agreement status
Service Level Agreement has been changed to {0}.,Service Level Agreement je promenjeno u {0}.
Service Level Agreement was reset.,Service Level Agreement je resetovanje.
Service Level Agreement with Entity Type {0} and Entity {1} already exists.,Level Agreement servis sa entitetskim Tip {0} i entiteta {1} već postoji.
Service Level Agreements,Servisni ugovor
Service Level Priority,Servis nivo Prioritet
Service Provider,Davalac usluga
Service Received But Not Billed,Usluga Primljena ali nije naplaćena
Service Start Date,Servis Početak
Service Stop Date,Servis Zaustavi Datum
Service Stop Date cannot be after Service End Date,Servis Stani Datum ne može biti posle servisa krajnjeg roka
Service Stop Date cannot be before Service Start Date,Servis Stani Datum ne može biti prije servis početka Datum
Service Unit,usluga Jedinica
Service Unit Type,Usluga Jedinica Tip
Services,Usluge
Session Active,session put
Session Default,session Uobičajeno
Session Default Settings,Session Default Settings
Session Defaults,Podrazumevana Vrednost
Session Defaults Saved,Podrazumevana Sesija je sačuvana
Session Expired,Sesija je istekla
Session Expiry,session isteka
Session Expiry Mobile,Session isteka Mobilni
Session Expiry in Hours e.g. 06:00,Session Istek u satima npr 06:00
Session Expiry must be in format {0},Sesija isteka mora biti u formatu {0}
Session Not Active. Save doc to login.,Sesija nije aktivan. Save doktor za prijavu.
Session Start Failed,Session Početak Failed
Session Status,session status
Session is expired. Save doc to login.,Sesija je istekla. Save doktor za prijavu.
Session not valid,Session ne važi
Sessions,sesije
Sessions Completed,sesija Završena
Set,Postavi
Warehouse wise Stock Value,Vrednost Lagera prema magacinu
Set 0 for no limit,Set 0 bez ograničenja
Set Accepted Warehouse,Set Prihvaćeno Magacin
Set Address,set Adresa
Set Advances and Allocate (FIFO),Set Avansi i Alocirati (FIFO)
Set Banner from Image,Set Baner from Image
Set Basic Rate Manually,Set Osnovni kurs Ručno
Set Chart,Postavi Grafikon
"Set Default Options for all charts on this Dashboard (Ex: ""colors"": [""#d1d8dd""","Podešavanje standardnih opcija za sve kartama na ovoj tabli (Ek: ""Boje"": [ ""# d1d8dd"""
Set Details,set Detalji
Set Dynamic Filters,Set Dinamic Filteri
Set Exchange Gain / Loss,Set kursne / Gubitak
Set Filters,Postavi filtere
Set Filters for {0},Postavi Filtere za {0}
Set From Warehouse,Set od skladišta
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Set Račun Vrednost za B2C. B2CL i B2CS izračunava na osnovu ovog vrednosti fakture.
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,Set Item Group-mudar budžeti na ovim prostorima. Takođe možete uključiti sezonski postavljanjem distribucije.
Set Meta Tags,Set meta tagova
Set New Password,Postavi novu lozinku
Set New Release Date,Set Novo izdanje Datum
Set Number of Backups,Set Broj rezervnih kopija
Set Only Once,Set Samo Jednom
Set Password,Postavi lozinku
Set Permissions,Set Dozvole
Set Posting Date,Set datum postanja
Set Project and all Tasks to status {0}?,Set projekta i svi zadaci za status {0}?
Set Property After Alert,Set nekretnine Nakon upozorenja
Set Qty in Transactions Based on Serial No Input,Set Količina u prometu na osnovu Serial No Input
Set Quantity,set Količina
Set Reserve Warehouse,Set rezervi Magacin
Set Response Time and Resolution Time for Priority {0} in row {1}.,Set Vreme odziva i Rezolucija vreme za Prioritet {0} u redu {1}.
Set Role For,Set uloga
Set Shipping Address or Billing Address,Set Dostava Adresa ili plaćanja adresa
Set Source Warehouse,Izvorno Skladište
Set Status,set status
Set Target Warehouse,Podrazumevano ciljno skladište
Set Tax Rule for shopping cart,Set Poreski Pravilo za kupovinu
Set User Permissions,Postavi korisničke dozvole
Set Value,Podešena vrednost
Set a Default Warehouse for Inventory Transactions. This will be fetched into the Default Warehouse in the Item master.,Postavite Default Varehouse za popis transakcija. Ovo će biti učitani u Default skladišta u stavci gospodara.
Set all private,Podesi kao privatno
Set all public,Podesi kao javno
Set as Closed,Set as Zatvoreno
Set as Completed,Postavi kao Završen
Set as Default,Postavi kao podrazumevani
Set as Default Theme,Postavi kao podrazumevanu temu
Set as Lost,Set as Lost
Set as Open,Set as Open
Set default inventory account for perpetual inventory,Set Default inventar račun za večiti inventar
Set default {0} account for perpetual inventory for non stock items,Set Default {0} nalog za večite inventar za registrovane zalihama
Set non-standard precision for a Float or Currency field,Set nestandardni preciznost polju Float ili Valuta
Set prefix for numbering series on your transactions,Set prefiks za numerisanje serija o transakcijama
Set rate of sub-assembly item based on BOM,Set stopa pod-montaže stavke na osnovu BOM
Set targets Item Group-wise for this Sales Person.,Set ciljeve artikla Grupa smislu ovog prodaje ličnosti.
Set the Item Code which will be used for billing the Clinical Procedure.,Podesite Šifra koja će se koristiti za obračun Klinički postupak.
Set the Out Patient Consulting Charge for this Practitioner.,Podesite Out pacijenta Konsalting naplatiti za ovu medicine.
Set the Practitioner Schedule you just created. This will be used while booking appointments.,Set praktičar raspored koji ste upravo kreirali. Ovo će se koristiti dok se rezervacije termina.
Set the default account for the {0} {1},Podesite podrazumevani nalog za {0} {1}
Set the status manually.,ručno podesili status.
Set this if the customer is a Public Administration company.,Postavite ovo ako je klijent kompanija javne uprave.
Set this template as the default for all sales transactions,Postavite ovu šablon kao podrazumevani za sve prodajne transakcije
Set up default Accounts for the Healthcare Facility,Podesite podrazumevani računi za zdravstvene ustanove
Set {0} in asset category {1} or company {2},Set {0} u kategoriji imovine {1} ili kompanije {2}
Set {0} in company {1},Set {0} u kompaniji {1}
Sets 'Accepted Warehouse' in each row of the items table.,"Postavlja 'Prihvaćeno Magacin ""u svakom redu tabele stavki."
Sets 'From Warehouse' in each row of the items table.,Setovi 'iz magacina' u svakom redu tabele stavki.
Sets 'Rejected Warehouse' in each row of the items table.,"Postavlja 'Odbijen Magacin ""u svakom redu tabele stavki."
Sets 'Source Warehouse' in each row of the Items table.,"Postavlja 'Izvorno Skladište ""u svakom redu tabele stavke."
Sets 'Source Warehouse' in each row of the items table.,"Postavlja 'Izvorno Skladište ""u svakom redu tabele stavki."
Sets 'Target Warehouse' in each row of the Items table.,"Postavlja 'Ciljno Skladište ""u svakom redu tabele stavke."
Sets 'Target Warehouse' in each row of the items table.,"Postavlja 'Ciljno Skladište ""u svakom redu tabele stavki."
Sets 'Warehouse' in each row of the Items table.,Postavlja 'Magacin' u svakom redu tabele stavke.
Sets the current page as default for all users,Postavlja trenutnu stranicu kao podrazumevano za sve korisnike
Setting Account Type helps in selecting this Account in transactions.,Postavka Tip Racuna pomaže u odabiru ovog računa u transakcijama.
Setting Events to {0},Postavljanje događaji do {0}
Setting defaults,Podešavanje podrazumevane
Setting the account as a Company Account is necessary for Bank Reconciliation,Podešavanje naloga kao naloga preduzeća je neophodan za banke pomirenje
Setting this Address Template as default as there is no other default,Postavljanje Ova adresa šablon kao podrazumevani jer ne postoji drugi podrazumevani
Setting up Global Search documents.,Podešavanje Global search dokumenata.
Setting up company,Podešavanje kompaniju
Setting up your system,Podešavanje sistema
Settings,Podešavanja
Settings Dropdown,Podešavanja padajući
Settings for Accounts,Podešavanja za račune
Settings for Buying Module,Podešavanja za kupovinu Module
Settings for Contact Us Page,Podešavanja za Kontakt stranica
Settings for Selling Module,Podešavanja za prodaju Module
Settings for the About Us Page,Podešavanja za About Us Page
Settled,izmiren
Setup,Postaviti
Setup > Customize Form,Podešavanje> Prilagodite Obrazac
Setup > User,Setup> Korisnik
Setup > User Permissions,Setup> User Dozvole
Setup Auto Email,Podešavanje auto-mail
Setup Complete,podešavanje Kompletna
Setup Series,Podesi Broj Dokumenta
Setup Wizard,Čarobnjak za podešavanje
Setup your Institute in ERPNext,Postavite svoj Institut u ERPNekt
Share,Objavi
Share Balance,Podeli Stanje
Share Ledger,Podeli knjiga
Share On,Podeli
Share Transfer,share transfer
Share Type,Podeli Tip
Share URL,Podeli URL
Share With,Učešće u
Share this document with,Share ovaj dokument sa
Share {0} with,Share {0} vith
Shared,shared
Shared With,Deli sa
Shared secret,Zajednička tajna
Shared with the following Users with Read access:{0},Deli sa sledećim korisnicima za čitanje pristup: {0}
Shareholder,Akcionar
Shelf Life In Days,Rok trajanja u danima
Shift,Smena
Shift Actual End,Shift Actual End
Shift Actual Start,Shift stvarnog početka
Shift Assignment,Raspored Smena
Shift Assignment: {0} created for Employee: {1},Shift Assignment: {0} stvorena za zaposlenog: {1}
Shift End,shift Kraj
Shift Request,Zahtev za Smenu
Shift Request Approver,Menadžer Smena
Shift Start,Početak Smene
Shift Type,Smena
Ship To State,Brod na državnu
Shipment,Pošiljka
Shipment Amount,Iznos Pošiljke
Shipment Delivery Note,Otpremnica za Pošiljku
Shipment ID,ID Pošiljke
Shipment Information,Informacije Pošiljke
Shipment Parcel,Deo Pošiljke
Shipment Parcel Template,Šablon Pošiljke u Delovima
Shipment Type,Tip Pošiljke
Shipment details,Detalji Pošiljke
Shipments,Pošiljke
Shipping,Isporuka
Shipping Account,Račun Dostave
Shipping Account Head,Dostava računa Glava
Shipping Address,Dostava Adresa
Shipping Address Details,Adresa za isporuku Detalji
Shipping Address Name,Shipping Adresa Ime
Shipping Address does not have country,Adresa za isporuku nema zemlju
Shipping Amount,Dostava Iznos
Shipping City,Dostava Grad
Shipping Country,Dostava Država
Shipping County,Dostava županija
Shipping Rule,Pravila Dostave
Shipping Rule Condition,Dostava Pravilo Stanje
Shipping Rule Conditions,Dostava Pravilo Uslovi
Shipping Rule Country,Dostava Pravilo Država
Shipping Rule Label,Naziv Pravila Dostave
Shipping Rule Type,Tip Pravila dostave
Shipping State,Dostava Država
Shipping Zipcode,Dostava Poštanski kod
Shipping rule not applicable for country {0} in Shipping Address,Shipping pravilo ne važi za zemlju {0} u Shipping Address
Shipping rule only applicable for Buying,Shipping pravilo samo primenjuje za kupovinu
Shipping rule only applicable for Selling,Shipping pravilo se odnosi samo na Selling
Shop,Prodavnica
Shop URL,shop URL adresa
Shopify Log,Shopifi se
Shopify Order Id,Shopifi narudžbe
Shopify Settings,Shopifi Podešavanja
Shopify Supplier,Shopifi dobavljača
Shopify Tax Account,Shopifi Poreski račun
Shopify Tax/Shipping Title,Shopifi Poreska / Shipping Naslov
Shopify Webhook Detail,Shopifi Webhook Detalj
Shopping Cart,Korpa
Shopping Cart Settings,Shopping cart Settings
Short Name,Kratko ime
Short Term Loan Account,Kratkoročni kredit nalog
Short biography for website and other publications.,Kratka biografija za veb i drugih publikacija.
Short keyboard patterns are easy to guess,Kratki na tastaturi je lako pogoditi
Shortage Qty,manjak Količina
Shortcuts,Prečice
Shortfall Amount,manjak Količina
Shortfall Time,manjak Vreme
Show,Prikaži
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.","Shov ""Na sklade"" ili ""ne e na sklad"" zasnovan na lageru na raspolaganju u ovom skladištu."
Show 'Scan Barcode' field above every child table to insert Items with ease.,Shov 'Scan Barkod' polje iznad svakog stola dete da ubacite stavke sa lakoćom.
Show Absolute Values,Prikaži absolutne vrednosti
Show Apply Coupon Code,Prikazati Primena koda kupona
Show Attachments,Shov Oprema
Show Availability Status,Shov Dostupnost status
Show Barcode Field,Shov Barkod Polje
Show CTA in Blog,Shov CTA u Blog
Show Calendar,shov Kalendar
Show Cancelled Entries,Shov otkazao unose
Show Completed,Shov Završen
Show Completed Orders,Shov dovršene porudžbine
Show Contact Us Button,Shov Kontaktirajte nas Button
Show Cumulative Amount,Shov kumulativni iznos
Show Dashboard,shov Kontrolna tabla
Show Document,shov dokument
Show Employee,shov zaposlenih
Show Failed Jobs,Shov Failed Jobs
Show Failed Logs,Shov Failed evidencija
Show Form Tour,Shov forma krug
Show Full Error and Allow Reporting of Issues to the Developer,Shov Full Greška i Dozvolite izveštavanje o pitanjima u Developer
Show Full Form?,Shov punoj formi?
Show Future Payments,Shov budućih isplata
Show In Website,Shov na sajtu
Show Inclusive Tax in Print,Shov inkluzivnog porez na Print
Show Items,Prikaži Artikle
Show Keyboard Shortcuts,Shov prečice
Show Latest Forum Posts,Prikazi poslednje objave na forumu
Show Leave Balances in Salary Slip,Shov Ostavite Vage plate Slip
Show Leaves Of All Department Members In Calendar,Pokazuju lišće sve Odeljenje Članovi U Kalendaru
Show Line Breaks after Sections,Prikaži prazne linije nakon sekcija
Show Linked Delivery Notes,Shov Povezani dostavnica
Show Marks,shov maraka
Show More Activity,Shov More Activiti
Show Open,shov Otvoreno
Show Opening Entries,Shov Opening unose
Show Operations,shov operacije
Show Payment Details,Shov Detalji plaćanja
Show Payment Schedule in Print,Pokaži raspored isplate u štampanim
Show Percentage Stats,Shov procentah Statistika
Show Permissions,Prikaži Dozvole
Show Preview Popup,Shov Pregled Iskakanje
Show Price,shov Cena
Show Public Attachments,Shov Public Prilozi
Show Relapses,Shov relaps
Show Report,shov Izveštaj
Show Return Entries,Shov Povratak Unosi
Show Salary Slip,Prikaži Ovaj Deo Plate
Show Sales Person,Shov prodaje Osoba
Show Saved,Prikaži Sačuvano
Show Section Headings,Prikaži Naslove
Show Sidebar,Pokaži Sidebar
Show Stock Ageing Data,Shov Stok Aging podataka
Show Stock Availability,Shov skladišta
Show Stock Quantity,Shov Stok Količina
Show Tags,Prikaži Oznake
Show Title,Prikaži Naslov
Show Totals,Prikaži ukupne vrednosti
Show Traceback,shov Traceback
Show Variant Attributes,Shov Variant atributa
Show Variants,shov Varijante
Show Warehouse-wise Stock,Shov Magacin-mudar Stok
Show Warnings,Shov Upozorenja
Show Weekends,shov Vikend
Show a slideshow at the top of the page,Pokazuju slideshov na vrhu stranice
Show all Versions,Pogledajte sve verzije
Show as Grid,Pokazati kao Grid
Show as cc,Pokazati kao cc
Show closed,Shov zatvoreno
Show exploded view,Shov eksplodirala pogled
Show full form instead of a quick entry modal,Shov full oblik umesto brzog ulaska modal
Show in Module Section,Shov in Module članu
Show in Website,Shov na sajtu
Show in Website (Variant),Pokazati na sajtu (Varijanta)
Show in filter,Shov u filteru
Show more details,Shov more details
Show on Website,Pokazati na sajtu
Show only POS,Prikaz samo POS
Show only errors,Prikazuju samo greške
Show percentage difference according to this time interval,Shov procentualnu razliku prema ovom vremenskom intervalu
Show this slideshow at the top of the page,Shov this slideshov na vrhu stranice
"Show title in browser window as ""Prefix - title""","Shov naslov u prozor pregledača kao ""prefiksom - naslov"""
Show unclosed fiscal year's P&L balances,Shov unclosed Fiskalna godina je P & L salda
Show zero values,Shov nula vrednosti
Show {0},Shov {0}
Showing only Numeric fields from Report,Prikaz samo numeričkim poljima iz Izvještaja
Showing only first {0} rows out of {1},Prikazuje se samo prvih {0} redove od {1}
Sibling Details,brat Detalji
Siblings,braća i sestre
Sick Leave,Bolovanje
Sidebar,sidebar
Sidebar Items,Sidebar Predmeti
Sidebar Settings,Sidebar Podešavanja
Sidebar and Comments,Sidebar i Komentari
Sign Up,Prijavi se
Sign Up is disabled,Sign Up je onemogućen
Signatory Position,potpisnik Pozicija
Signature,Potpis
Signed,Potpisan
Signed By (Company),Signed bi (Firma)
Signed On,potpisan
Signee,potpisnica
Signee (Company),Potpisnica (Firma)
Signee Details,potpisnica Detalji
Signup Disabled,signup Isključeno
Signups have been disabled for this website.,Registracije su onemogućeni za ovaj sajt.
Silt,mulj
Silt Composition (%),Silt Composition (%)
Silt Loam,mulj Loam
Silty Clay,silti Glina
Silty Clay Loam,Silti Glina Loam
Similar to the previous option,Slično prethodnom opcijom
Simple Python Expression,Jednostavan Piton Izraz
Simple Python Expression,Jednostavan Piton Izraz
Simple Python Expression,Jednostavan Piton Izraz
Simple Python Expression,Jednostavan Piton Izraz
"Simple Python formula applied on Reading fields.<br> Numeric eg. 1: <b>reading_1 &gt; 0.2 and reading_1 &lt; 0.5</b><br>Numeric eg. 2: <b>mean &gt; 3.5</b> (mean of populated fields)<br>Value based eg.:  <b>reading_value in (""A""","Jednostavna Piton Formula primeniti na čitanje poljima. <br> Brojni npr. 1: <b> reading_1 & gt; 0,2 i reading_1 & lt; 0.5 </ b>  Numeric npr. 2: <b> srednja vrednost & gt; 3.5 </ b> (znači naseljenih oblasti) <br>  Vrednost zasnovan npr .: <b> reading_value u ( ""A"""
Simultaneous,simultan
Simultaneous Sessions,Istovremenih sesija
Single,Jedno
Single Correct Answer,Single tačnih odgovora
Single DocTypes cannot be customized.,Single DocTipes ne mogu da se prilagode.
Single Tier Program,Single Nivo program
Single Transaction Threshold,Single transakcije Prag
Single Types have only one record no tables associated. Values are stored in tabSingles,Single Vrste imaju samo jedan zapis nema tabele povezane. Vrednosti se čuvaju u tabSingles
Single Variant,single Varijanta
Size,veličina
Skill,Veština
Skill Name,skill Ime
Skills,Veštine
Skip,Preskoči
Skip Authorization,skip Ovlašćenje
Skip Auto Attendance,Preskoči Automatsko Čekiranje
Skip Delivery Note,Skip Isporuka Napomena
Skip Material Transfer to WIP Warehouse,Skip Materijal Transfer na VIP Varehouse
Skip Step,preskočite korak
Skip User creation for new Student,Skip stvaranje Korisnik za novog studenta
Skip rows with errors,Preskočite redove sa greškama
Skipping Duplicate Column {0},Skipping Duplicate Kolona {0}
Skipping Salary Structure Assignment for the following employees,Preskakanje plata Struktura Zadatak za sledeće zaposlene
Skipping Untitled Column,Preskakanje Untitled kolonu
Skipping column {0},Preskakanje Kolona {0}
Skype,skipe
Skype ID,skipe id
Slack,Slack
Slack Channel,slack Channel
Slack Webhook Error,Slack Webhook Greška
Slack Webhook URL,Slack Webhook URL
Sledeća strana,Prethodna strana
Slideshow,slideshov
Slideshow Items,slideshov Predmeti
Slideshow Name,slideshov Ime
Slideshow like display for the website,Slideshov kao displej za sajt
Slots for {0} are not added to the schedule,Slotovi za {0} se ne dodaju u rasporedu
Small,mali
Small Text,Malo teksta
Smallest Currency Fraction Value,Najmanji valuta frakcija Vrednost
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,Najmanja cirkuliše frakcija jedinica (coin). Za npr 1 cent za USD i treba uneti kao 0.01
Smoothing Constant,izglađivanje Konstanta
Snapshot View,snapshot Pogledaj
Soap & Detergent,Sapun i deterdžent
Social,društveni
"SRB-CRTNL-.IIII.-","REK-.YY."
Settings,Podešavanja
Social Link Settings,Socijalni Link Podešavanja
Social Link Type,Socijalno Vrsta linka
Social Login Key,Socijalni Prijava Ključ
Social Login Provider,Socijalni Prijava provajdera
Social Logins,Socijalni Prijave
Social Media Campaigns,Social Media Kampanje
Social Media Post,Post na socijalnim mrežama
Soft-Bounced,Soft-Bounced
Software,Softver
Software Developer,Programer
Softwares,Programi
Type,Tip
Soil Analysis,Analiza zemljišta
Soil Analysis Criteria,Analiza zemljišta Kriterijumi
Soil Analysis Criterias,Analiza zemljišta Harakteristiki
Soil Texture,zemljišta Tekstura
Soil Texture Criteria,Kriterijumi zemljišta Tekture
Soil Type,Tip zemljišta
Soil compositions do not add up to 100,Soil sastavi ne sabiraju do 100
Sold,Prodato
Some columns might get cut off when printing to PDF. Try to keep number of columns under 10.,Neke kolone može se prekinuti prilikom štampanja u PDF. Pokušajte da broj kolona pod 10.
Some emails are invalid,Neke e-pošte su nevažeći
Some information is missing,Neke informacije nedostaje
Some of the features might not work in your browser. Please update your browser to the latest version.,Neke od funkcija neće raditi u vašem brovseru. Molimo Vas da ažurirate svoj pretraživač na najnoviju verziju.
Something went wrong,Nešto je krenulo naopako
Something went wrong during the token generation. Click on {0} to generate a new one.,Nešto je pošlo naopako tokom token generacije. Kliknite na {0} da stvori novu.
Something went wrong while evaluating the quiz.,"Nešto nije u redu, a ocenu kviz."
Something went wrong while generating dropbox access token. Please check error log for more details.,Nešto nije u redu dok generisanje Dropbok pristupa. Proverite greške dnevnik za više detalja.
Something went wrong while saving customizations,Nešto je pošlo naopako dok uštedu prilagođavanja
Something went wrong!,Nešto je krenulo naopako!
Sorry! I could not find what you were looking for.,Izvinjavam se! Nisam mogao naći ono što tražite.
Sorry! Sharing with Website User is prohibited.,Izvinjavam se! Deljenje sa Vebsite Korisnik je zabranjeno.
Sorry! User should have complete access to their own record.,Izvinjavam se! Korisnik treba da imaju pun pristup sopstveni dosije.
Sorry! We could not find what you were looking for.,Izvinjavam se! Nismo mogli naći ono što tražite.
Sorry! You are not permitted to view this page.,Izvinjavam se! Nije vam dozvoljeno da vidite ovu stranicu.
Sorry,Izvinjavam se
Sorry,Izvinjavam se
Sorry,Izvinjavam se
Sorry,Izvinjavam se
Sorry,Izvinjavam se
Sort Field,sortiranje Field
Sort Order,redosled sortiranja
Sort field {0} must be a valid fieldname,Sort polje {0} mora biti validan fieldname
Source,Izvor
Source DocType,Izvor DOCTIPE
Source Document Name,Izvor naziva dokumenta
Source Document Type,Izvor tipa dokumenta
Source Location,Izvor Lokacija
Source Location is required for the Asset {0},Izvor Lokacija je potrebna za sredstvo {0}
Source Message,Izvor poruka
Source Name,Izvor Ime
Source Text,Izvor Tekst
Source Type,Izvor Tip
Source Warehouse,Izvor Magacin
Source Warehouse Address,Izvor Magacin Adresa
Source Warehouses (Optional),Izvor Skladišta (opciono)
Source and Target Location cannot be same,Izvor i Cilj Lokacija ne može biti isto
Source and target warehouse cannot be same for row {0},Izvorni i ciljni skladište ne može biti isti za red {0}
Source and target warehouse must be different,Izvor i cilj skladište mora biti drugačija
Source of Funds (Liabilities),Izvor sredstava (Obaveze)
Source warehouse is mandatory for row {0},Izvor skladište je obavezno za redom {0}
Sourced by Supplier,Sourced od dobavljača
Spam,Spam
SparkPost,SparkPost
Special Characters are not allowed,Specijalni znakovi nisu dozvoljeni
"Special Characters except ""-""","Specijalni znakovi osim ""-"""
Specified BOM {0} does not exist for Item {1},Ukazano BOM {0} ne postoji za stavku {1}
Specify Exchange Rate to convert one currency into another,Navedite kurs kurs za pretvaranje jedne valute u drugu
Specify conditions to calculate shipping amount,Precizira uslove da se izračuna iznosa isporuku
Split,Razdeliti
Split Batch,podela Serija
Split Issue,Splitsko izdanje
Spliting {} {} into {} rows as per payment terms,Spliting {} {} u {} redova po pitanju plaćanja
Sponsored Amount,sponsored Iznos
Sports,sportski
Spouse,Supruga
Sr,sr
Staffing Plan,Plan Zapošljavanja
Staffing Plan Detail,Detalj Plana Zapošljavanja
Staffing Plan Details,Detalji Plana Zapošljavanja
Staffing Plan {0} already exist for designation {1},Staffing Plan {0} već postoji za označavanje {1}
Stage Name,Umetničko ime
Staging,skele
